                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2352,                 1.4147,                 1.2817,                0.77408,                0.84958,                0.85498,                0.54537,                 1.1924,                 2.0176,                 1.3563,             0.00036559,             0.00036559,             0.00036559
                      2,                 1.2516,                 1.0171,                   1.29,                0.69463,                0.63096,                0.66616,                0.37974,                 1.3558,                 1.6504,                 1.4474,             0.00072135,             0.00072135,             0.00072135
                      3,                 1.2691,                 1.0025,                 1.3072,                0.66843,                0.63066,                0.62097,                0.36728,                 1.3155,                 2.6267,                 1.4708,              0.0010624,              0.0010624,              0.0010624
                      4,                 1.2367,                0.96039,                 1.2854,                0.86468,                0.88479,                0.93207,                0.59564,                 1.1679,                 1.1067,                 1.3527,               0.001045,               0.001045,               0.001045
                      5,                 1.2162,                0.87083,                 1.2684,                0.90197,                0.91006,                0.95476,                0.64501,                 1.0794,                0.87712,                 1.2559,               0.001023,               0.001023,               0.001023
                      6,                 1.1924,                0.85839,                 1.2611,                0.93524,                0.90561,                0.95569,                0.64837,                 1.0731,                0.71328,                 1.2367,               0.001001,               0.001001,               0.001001
                      7,                 1.1678,                0.79656,                 1.2423,                0.95819,                 0.9263,                0.96016,                0.65932,                 1.0381,                0.72455,                  1.217,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.1429,                0.76737,                 1.2165,                0.95669,                0.90553,                0.95029,                 0.6543,                 1.0366,                0.61642,                 1.2333,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.1038,                0.73738,                 1.2019,                0.97284,                0.94161,                0.97474,                0.68352,                 1.0011,                0.56874,                 1.1981,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.0954,                0.70743,                 1.1906,                0.96414,                0.91132,                0.96184,                0.67226,                 1.0212,                 0.5734,                 1.2022,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.0869,                0.68076,                  1.183,                0.96453,                0.94546,                0.97963,                0.68489,                0.99357,                0.52796,                 1.1626,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.0811,                0.66394,                 1.1882,                0.97449,                0.94089,                0.97715,                0.69271,                0.98533,                0.52311,                 1.1695,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.0522,                0.65581,                 1.1723,                0.97609,                 0.9397,                0.98022,                 0.7013,                0.97275,                0.50301,                  1.167,             0.00084703,             0.00084703,             0.00084703
                     14,                  1.046,                0.62639,                 1.1677,                0.95636,                0.95677,                 0.9803,                0.69426,                0.98047,                0.52109,                 1.1523,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.0281,                0.61395,                 1.1535,                 0.9729,                0.95866,                0.98079,                0.71211,                0.93223,                0.46299,                 1.1393,             0.00080303,             0.00080303,             0.00080303
                     16,                  1.019,                0.60726,                 1.1467,                0.98169,                0.94812,                0.98106,                0.70421,                0.96193,                0.46638,                 1.1626,             0.00078103,             0.00078103,             0.00078103
                     17,                  1.014,                0.58413,                 1.1424,                0.97695,                0.95703,                0.98387,                0.71176,                0.94397,                 0.4603,                 1.1323,             0.00075904,             0.00075904,             0.00075904
                     18,                0.98063,                0.56511,                 1.1259,                0.96795,                0.96334,                0.97984,                0.71642,                0.95182,                0.45277,                 1.1483,             0.00073704,             0.00073704,             0.00073704
                     19,                0.97352,                0.55182,                 1.1174,                0.97522,                0.96365,                0.98568,                0.72091,                0.92512,                0.44532,                 1.1323,             0.00071504,             0.00071504,             0.00071504
                     20,                0.97209,                 0.5461,                 1.1193,                0.97964,                0.96271,                0.98546,                0.71637,                  0.922,                0.42674,                 1.1391,             0.00069304,             0.00069304,             0.00069304
                     21,                  0.965,                 0.5378,                 1.1094,                0.97416,                0.96123,                0.98375,                0.72283,                 0.9143,                0.44416,                 1.1094,             0.00067104,             0.00067104,             0.00067104
